feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Specie_Proteobacteria_bacterium_CAG_139	antivirals	antivirals	-0.454766206385047	0.149973644764535	180	103	0.00310561726203097	0.900855574211745
Specie_Ruminococcus_lactaris	antivirals	antivirals	-0.629095424096995	0.242890128559388	180	102	0.0110588036030984	0.900855574211745
Specie_Blautia_obeum	antivirals	antivirals	-0.520248232284823	0.287412016063726	180	102	0.0733746716474828	0.900855574211745
Specie_Blautia_wexlerae	antivirals	antivirals	-1.06796675622475	0.394775739771095	180	97	0.00811844553586779	0.900855574211745
Specie_Ruminococcus_gnavus	antivirals	antivirals	-0.453117395695096	0.239255315392399	180	113	0.060918439573531	0.900855574211745
Specie_Blautia_sp_CAG_257	antifungals	antifungals	-0.411416010831375	0.224879738887516	180	113	0.070084372715706	0.900855574211745
Specie_Firmicutes_bacterium_CAG_83	probiotics	probiotics	-0.341941332717253	0.212544287551724	180	100	0.110978330865624	0.900855574211745
Specie_Monoglobus_pectinilyticus	antibiotics	antibiotics	0.425638847265123	0.24875179764331	180	103	0.0902264525079693	0.900855574211745
Specie_Monoglobus_pectinilyticus	antivirals	antivirals	-0.814341940606445	0.27481010259037	180	103	0.00382050312326164	0.900855574211745
Specie_Clostridium_sp_CAG_167	probiotics	probiotics	-0.308255429792894	0.17218373038604	180	102	0.0765303499725508	0.900855574211745
Specie_Clostridium_bolteae	antifungals	antifungals	-0.535414796360265	0.236316513057035	180	115	0.0254292847079559	0.900855574211745
Specie_Clostridium_bolteae	probiotics	probiotics	-0.40670847264368	0.234010840441335	180	115	0.0850110364005168	0.900855574211745
Specie_Clostridium_symbiosum	antivirals	antivirals	-0.756877840281494	0.265067230506821	180	116	0.00513090460643321	0.900855574211745
Specie_Clostridium_sp_CAG_299	antifungals	antifungals	-0.27254189415651	0.144862406298892	180	108	0.0627433951861191	0.900855574211745
Specie_Hungatella_hathewayi	probiotics	probiotics	-0.412930536177082	0.205336800394876	180	120	0.0466654483878861	0.900855574211745
Specie_Clostridium_clostridioforme	antivirals	antivirals	-0.498440992224435	0.220324426309606	180	122	0.0255243101972253	0.900855574211745
Specie_Firmicutes_bacterium_CAG_145	antivirals	antivirals	-0.599653551917993	0.24003332469432	180	113	0.0139752077232084	0.900855574211745
Specie_Holdemania_filiformis	probiotics	probiotics	-0.461285283315206	0.219534004308416	180	112	0.0379716449360231	0.900855574211745
Specie_Anaerotruncus_colihominis	antivirals	antivirals	-0.565739436098357	0.21333041309263	180	121	0.00912285588078873	0.900855574211745
Specie_Turicimonas_muris	antivirals	antivirals	-0.628588504116064	0.242032974061269	180	96	0.0109629194168504	0.900855574211745
Specie_Sellimonas_intestinalis	antifungals	antifungals	-0.390152652467805	0.188474908812841	180	118	0.040726747307472	0.900855574211745
Specie_Sellimonas_intestinalis	probiotics	probiotics	-0.325570234276848	0.193737038786449	180	118	0.095627348772105	0.900855574211745
Specie_Anaeromassilibacillus_sp_An250	antivirals	antivirals	-0.452759049653919	0.27891551025537	180	112	0.10747134830231	0.900855574211745
Specie_Clostridium_citroniae	probiotics	probiotics	-0.440552696500753	0.26970568984593	180	121	0.105084250038947	0.900855574211745
Specie_Haemophilus_parainfluenzae	antifungals	antifungals	-0.599414480015048	0.199831550647819	180	114	0.00335024837523726	0.900855574211745
Specie_Clostridium_asparagiforme	antibiotics	antibiotics	0.317869696762177	0.188397070228785	180	115	0.0943924272250423	0.900855574211745
Specie_Gordonibacter_pamelaeae	antivirals	antivirals	-0.539471815365518	0.296604743889657	180	127	0.0713910365814772	0.900855574211745
Specie_Ruminococcaceae_bacterium_D16	antivirals	antivirals	-0.535302580386498	0.1981052239344	180	119	0.00794287440958181	0.900855574211745
Specie_Lactobacillus_rogosae	probiotics	probiotics	-0.395497076517833	0.166617783649486	180	114	0.0193619877054533	0.900855574211745
Specie_Harryflintia_acetispora	antivirals	antivirals	-0.365309332823225	0.216858189126839	180	125	0.0946738650766521	0.900855574211745
Microbiome_gene_K00002	probiotics	probiotics	-0.721952181828972	0.381272542835606	180	95	0.061499597553995	0.900855574211745
Microbiome_gene_K00015	antivirals	antivirals	-0.992016758349825	0.41970887928757	180	97	0.0202034731272523	0.900855574211745
Microbiome_gene_K00018	antivirals	antivirals	-0.71189740282639	0.406175135664831	180	112	0.0825202754889341	0.900855574211745
Microbiome_gene_K00033	probiotics	probiotics	-0.678365032407401	0.420116562790344	180	102	0.10962256553344	0.900855574211745
Microbiome_gene_K00033	antivirals	antivirals	-0.775529984071829	0.430157269285864	180	102	0.0745092655161083	0.900855574211745
Microbiome_gene_K00036	probiotics	probiotics	-0.768053025747723	0.404255374567759	180	100	0.0604764882322173	0.900855574211745
Microbiome_gene_K00041	probiotics	probiotics	-0.62915564751806	0.373504581972377	180	97	0.0954815005979927	0.900855574211745
Microbiome_gene_K00046	antivirals	antivirals	-0.871988668768676	0.476352960474876	180	96	0.0704407074000264	0.900855574211745
Microbiome_gene_K00048	antivirals	antivirals	-0.800122958721457	0.429929893645191	180	94	0.0660379081539416	0.900855574211745
Microbiome_gene_K00054	antivirals	antivirals	-0.707247684187604	0.416724470037775	180	107	0.0927160326145633	0.900855574211745
Microbiome_gene_K00055	antifungals	antifungals	-0.580744592173439	0.328730969455321	180	112	0.0801425004216289	0.900855574211745
Microbiome_gene_K00055	antivirals	antivirals	-0.533595774982587	0.313620411546479	180	112	0.0917709053994474	0.900855574211745
Microbiome_gene_K00065	antivirals	antivirals	-0.73868412926767	0.338413402136169	180	114	0.0311968904661286	0.900855574211745
Microbiome_gene_K00067	antivirals	antivirals	-1.16262343781891	0.432080534463312	180	99	0.00843784058065731	0.900855574211745
Microbiome_gene_K00075	antivirals	antivirals	-0.8699387672723	0.450328113364871	180	96	0.0564969167416953	0.900855574211745
Microbiome_gene_K00087	probiotics	probiotics	-0.507082734962758	0.29713543891186	180	101	0.0911347430463474	0.900855574211745
Microbiome_gene_K00087	antivirals	antivirals	-0.793489473395868	0.303042555426742	180	101	0.010266213218193	0.900855574211745
Microbiome_gene_K00088	antibiotics	antibiotics	0.458053863340257	0.279729907937357	180	107	0.10461047896365	0.900855574211745
Microbiome_gene_K00096	antifungals	antifungals	-0.853656147107161	0.491458030725613	180	85	0.0862383514609407	0.900855574211745
Microbiome_gene_K00096	antibiotics	antibiotics	0.780043714679398	0.45887176273496	180	85	0.0930317144623823	0.900855574211745
Microbiome_gene_K00096	antivirals	antivirals	-1.11044222605967	0.479599985568263	180	85	0.0231565803370442	0.900855574211745
